model,accuracy,precision,recall,f1,roc_auc,pr_auc,recall_at_10,precision_at_10,reviewed_at_10,recall_at_15,precision_at_15,reviewed_at_15,recall_at_20,precision_at_20,reviewed_at_20
Persistence,0.8822995461422087,0.6634799235181644,0.6196428571428572,0.6408125577100646,0.7777631407754358,0.4755684018197288,0.38035714285714284,0.6435045317220544,331,0.5875,0.6619718309859155,497,0.6303571428571428,0.5340393343419062,661
Logistic Regression,0.8816944024205748,0.8366533864541833,0.375,0.5178791615289766,0.8836104605776736,0.696396655640745,0.4607142857142857,0.7794561933534743,331,0.5982142857142857,0.6740442655935613,497,0.6875,0.5824508320726173,661
Decision Tree,0.8853252647503782,0.7302798982188295,0.5125,0.602308499475341,0.8466868332032266,0.5937175748588518,0.4357142857142857,0.7371601208459214,331,0.5928571428571429,0.6680080482897385,497,0.6660714285714285,0.5642965204236006,661
