cik,feature_year,actual_label,predicted_score,risk_tier,scenario_score
0000001800,2021,0,0.011468968669435595,Routine Monitoring,0.012941432261747463
0000002098,2021,0,0.19305606922005025,Routine Monitoring,0.21039647772134148
0000002178,2021,0,0.008905458961249247,Routine Monitoring,0.009463724685836821
0000002488,2021,0,0.0030415151067933912,Routine Monitoring,0.003435765877480366
0000002969,2021,0,0.014999465023560051,Routine Monitoring,0.01667725903765926
0000003197,2021,0,0.13272980076001015,Routine Monitoring,0.14562955530808658
0000003570,2021,0,0.0531484131701549,Routine Monitoring,0.05964907441726429
0000004127,2021,0,0.0038621225092798357,Routine Monitoring,0.004299565568750539
0000004281,2021,0,0.03699352971117401,Routine Monitoring,0.04102903589237134
0000004904,2021,0,0.05426005553943568,Routine Monitoring,0.05749656921805885
0000005981,2021,0,0.04749422266747273,Routine Monitoring,0.05261263372458166
0000006176,2021,0,0.19618886613504435,Routine Monitoring,0.21373613229254484
0000006281,2021,0,0.011897930222784027,Routine Monitoring,0.013424718876921973
0000006845,2021,0,0.0640664777777641,Routine Monitoring,0.07180127781806084
0000006951,2021,0,0.005140908980550839,Routine Monitoring,0.005722361658171031
0000006955,2021,0,0.06849381605564375,Routine Monitoring,0.07569548618853215
0000007332,2021,0,0.03008039708882691,Routine Monitoring,0.03161331046113742
0000007431,2021,0,0.027889398127320178,Routine Monitoring,0.03140305633250988
0000007536,2021,0,0.05428724484558232,Routine Monitoring,0.060918236547330806
0000008063,2021,1,0.2696626498421841,Routine Monitoring,0.29139913232587344
0000008146,2021,0,0.20612218614376593,Routine Monitoring,0.22430996807531395
0000008858,2021,0,0.08041728476264406,Routine Monitoring,0.08875317945066995
0000008868,2021,1,0.30827775397687823,Medium Review Priority,0.33171312877084846
0000008947,2021,0,0.050312222335659934,Routine Monitoring,0.05571656230543071
0000009092,2021,0,0.03421184581606552,Routine Monitoring,0.03849050172065102
0000009326,2021,0,0.041289875881797354,Routine Monitoring,0.04577178061635474
0000009389,2021,0,0.026323398371336758,Routine Monitoring,0.029230264107677463
0000009984,2021,0,0.04797206193295187,Routine Monitoring,0.05387562076315217
0000010254,2021,0,0.021703924219235574,Routine Monitoring,0.02282001125977845
0000010456,2021,0,0.031519046760759846,Routine Monitoring,0.03497905078431481
0000010795,2021,0,0.02025607398765286,Routine Monitoring,0.022830630304727487
0000012040,2021,0,0.09013287702219676,Routine Monitoring,0.09936704679908463
0000012208,2021,0,0.043483816166018104,Routine Monitoring,0.04819189620168233
0000012927,2021,0,0.08278740659168576,Routine Monitoring,0.09134457911199587
0000014177,2021,0,0.32097128403861264,Medium Review Priority,0.34637396275057214
0000014693,2021,0,0.0222025279343229,Routine Monitoring,0.024665858184795404
0000014707,2021,0,0.04507805884396652,Routine Monitoring,0.050644420117257914
0000014930,2021,0,0.021169226652512637,Routine Monitoring,0.023857018950296665
0000016040,2021,0,0.03447402292952741,Routine Monitoring,0.03878415090843775
0000016058,2021,0,0.04034759733320511,Routine Monitoring,0.044731992588066524
0000016732,2021,0,0.037018085277169974,Routine Monitoring,0.0410561559453929
0000016918,2021,0,0.017919016658111773,Routine Monitoring,0.019916779426634505
0000017843,2021,0,0.1937014634918049,Routine Monitoring,0.21108467766316638
0000018230,2021,0,0.01227869198772389,Routine Monitoring,0.013656368131497568
0000018498,2021,0,0.025142954761665677,Routine Monitoring,0.027923203667296063
0000019745,2021,0,0.0763971745933296,Routine Monitoring,0.08548469816391219
0000021344,2021,0,0.007838547100296194,Routine Monitoring,0.008849085066949796
0000021535,2021,0,0.058547239639678714,Routine Monitoring,0.06566244608053481
0000021665,2021,0,0.008492308124332833,Routine Monitoring,0.009449214124960173
0000023111,2021,0,0.14999096752524194,Routine Monitoring,0.16425058824124514
0000023194,2021,0,0.004925985298262672,Routine Monitoring,0.0049169985800938
0000023197,2021,1,0.29128031967039697,Medium Review Priority,0.31401012094653064
0000024545,2021,0,0.04036105114480747,Routine Monitoring,0.044746840197152214
0000024741,2021,0,0.017273309703750687,Routine Monitoring,0.019200491068407533
0000025445,2021,0,0.038001865813037446,Routine Monitoring,0.042733542242462515
0000026058,2021,0,0.0372370116968705,Routine Monitoring,0.04129793951328455
0000026172,2021,0,0.01811900202531392,Routine Monitoring,0.02013860364148931
0000026324,2021,0,0.03401498831221467,Routine Monitoring,0.03773830786305308
0000026780,2021,0,0.056476178610888765,Routine Monitoring,0.06249905300429135
0000027419,2021,0,0.015121632770265892,Routine Monitoring,0.017054959250083646
0000027996,2021,0,0.05937350586531059,Routine Monitoring,0.06658202622703073
0000028823,2021,1,0.08548440917021884,Routine Monitoring,0.09554105256000729
0000029002,2021,0,0.014883178577455983,Routine Monitoring,0.01654818367479863
0000029332,2021,1,0.23552064494186348,Routine Monitoring,0.2554677235693253
0000029534,2021,0,0.03261295667382478,Routine Monitoring,0.03669924821991316
0000029644,2021,0,0.019203537307903196,Routine Monitoring,0.021341397199254285
0000029905,2021,0,0.018832445827151587,Routine Monitoring,0.02122997920456634
0000029989,2021,0,0.02645735457023665,Routine Monitoring,0.02979612607595615
0000030305,2021,0,0.1511327434889501,Routine Monitoring,0.1654797804675255
0000030625,2021,0,0.07281637064065997,Routine Monitoring,0.08151554658840561
0000030697,2021,0,0.03513721909569733,Routine Monitoring,0.038978422573690746
0000031107,2021,0,0.255001751496898,Routine Monitoring,0.276003075384405
0000031235,2021,1,0.18137925937238694,Routine Monitoring,0.19792810522785714
0000031462,2021,0,0.02199866907174643,Routine Monitoring,0.02443994687960607
0000031791,2021,0,0.02125815505051539,Routine Monitoring,0.023619239773894983
0000033002,2021,0,0.06142339874378564,Routine Monitoring,0.06793587903561017
0000033185,2021,0,0.018588351442296314,Routine Monitoring,0.02065916750562562
0000033213,2021,0,0.19658232651601162,Routine Monitoring,0.2141554081780298
0000033488,2021,0,0.2587916425928726,Routine Monitoring,0.2799877883516166
0000034067,2021,0,0.14578598787276775,Routine Monitoring,0.15972095994364252
0000034563,2021,1,0.3289842054393306,Medium Review Priority,0.3531899580159692
0000037472,2021,0,0.32588391752650764,Medium Review Priority,0.34998053472429136
0000037785,2021,0,0.030112298007047816,Routine Monitoring,0.033896244152235536
0000037996,2021,0,0.03349232987526103,Routine Monitoring,0.03716063948691338
0000038725,2021,0,0.03324297334602265,Routine Monitoring,0.0374051515530296
0000039092,2021,0,0.13288077795267159,Routine Monitoring,0.13639737116878514
0000039911,2021,0,0.04093924225387779,Routine Monitoring,0.046019160564501636
0000040533,2021,0,0.029218434043278042,Routine Monitoring,0.03289386569253554
0000040570,2021,0,0.19103601295124523,Routine Monitoring,0.21064983479363478
0000040704,2021,0,0.02546257318346944,Routine Monitoring,0.028277139578913802
0000040888,2021,0,0.07058945374865733,Routine Monitoring,0.07799301747859572
0000041719,2021,1,0.08834733571736764,Routine Monitoring,0.09741816170070083
0000042682,2021,0,0.07460110261052819,Routine Monitoring,0.08238811853182164
0000042888,2021,0,0.012646460488989745,Routine Monitoring,0.014267916459152537
0000043920,2021,0,0.0422152891067108,Routine Monitoring,0.047445711718866086
0000045012,2021,0,0.0837863895592622,Routine Monitoring,0.09243641385108435
0000045919,2021,0,0.20081861239683915,Routine Monitoring,0.2186673185658205
0000046080,2021,0,0.04175211936476337,Routine Monitoring,0.046281777169223264
0000046129,2021,0,0.11045363539777772,Routine Monitoring,0.12149169347220284
0000046250,2021,0,0.0644900434335087,Routine Monitoring,0.07130296698098529
0000046619,2021,0,0.027347598559562633,Routine Monitoring,0.030364038607939993
0000046765,2021,0,0.5560370475736286,High Review Priority,0.5859804954593435
0000047111,2021,0,0.009460873988859923,Routine Monitoring,0.010525758570310614
0000047217,2021,0,0.01189176240536015,Routine Monitoring,0.013417770328941703
0000047307,2021,0,0.2240236226105097,Routine Monitoring,0.23306506198882884
0000048287,2021,0,0.060121065399821975,Routine Monitoring,0.06741384199353939
0000048465,2021,0,0.03670229463138174,Routine Monitoring,0.0412791025647635
0000048898,2021,0,0.03369916340393986,Routine Monitoring,0.03738925048087548
0000049826,2021,0,0.009336563447634193,Routine Monitoring,0.010538173003061604
0000050493,2021,0,0.03404628632933542,Routine Monitoring,0.03777289783337476
0000050725,2021,0,0.1313542343887184,Routine Monitoring,0.14414251967724306
0000050863,2021,0,0.006952312530416929,Routine Monitoring,0.007849501897804147
0000051253,2021,0,0.01242887788077311,Routine Monitoring,0.012990020959305149
0000051644,2021,0,0.019368567621707765,Routine Monitoring,0.021524396543263352
0000052988,2021,0,0.06842851893439061,Routine Monitoring,0.07664682410636653
0000054381,2021,0,0.17736314001407227,Routine Monitoring,0.19591312734270475
0000055067,2021,0,0.03258445257847199,Routine Monitoring,0.03666730803009977
0000055135,2021,0,0.07934027713898653,Routine Monitoring,0.08874424794658917
0000055242,2021,0,0.053336431673197536,Routine Monitoring,0.05904542327270208
0000055529,2021,1,0.29031589984975686,Medium Review Priority,0.313003680768603
0000055772,2021,1,0.18365334766966498,Routine Monitoring,0.2026991105979273
0000055785,2021,0,0.01973092500322596,Routine Monitoring,0.0222402497967756
0000056679,2021,0,0.07283644016150494,Routine Monitoring,0.08045527148659525
0000056873,2021,0,0.019041913014340158,Routine Monitoring,0.021162168088697707
0000056978,2021,0,0.0057131385238830545,Routine Monitoring,0.005887181477290196
0000057131,2021,0,0.03716439260477296,Routine Monitoring,0.041796324319177326
0000057515,2021,0,0.037454410277358255,Routine Monitoring,0.04212090666904916
0000057725,2021,1,0.3546012577923941,Medium Review Priority,0.3796255034869278
0000058361,2021,0,0.07875174275489372,Routine Monitoring,0.08693131158393784
0000059440,2021,0,0.016943131551776857,Routine Monitoring,0.019104822274723727
0000059527,2021,0,0.01884398242205925,Routine Monitoring,0.020942669082241728
0000060519,2021,0,0.002244489217402084,Routine Monitoring,0.002499170821563436
0000060667,2021,0,0.007040283378783366,Routine Monitoring,0.007834869340756452
0000060714,2021,0,0.035194423995956695,Routine Monitoring,0.03959092718317856
0000061986,2021,0,0.062167586508341484,Routine Monitoring,0.06969020225352088
0000062996,2021,0,0.01791113568024591,Routine Monitoring,0.019908037622147032
0000063276,2021,0,0.04629864732230802,Routine Monitoring,0.052007521491952764
0000063296,2021,0,0.0690684267188505,Routine Monitoring,0.07632556295443409
0000063754,2021,0,0.03465644251984824,Routine Monitoring,0.03844718178168232
0000063908,2021,0,0.003825533734207502,Routine Monitoring,0.004320971002641578
0000064040,2021,0,0.004357278223133368,Routine Monitoring,0.004609155512475175
